Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,1553,LEXINGTON AVENUE,Manhattan,5,40.78785552,-73.94914331,No,Non Prevailing Wage,2,5,9,9
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,1555,LEXINGTON AVENUE,Manhattan,5,40.78791589,-73.94909993,No,Non Prevailing Wage,1,7,9,9
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,1265,PARK AVENUE,Manhattan,5,40.78748871,-73.95142948,No,Non Prevailing Wage,1,4,10,10
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,1325,PARK AVENUE,Manhattan,8,40.7892338,-73.95009925,No,Non Prevailing Wage,6,4,18,18
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,449,EAST 116 STREET,Manhattan,8,40.7955136,-73.93351718,No,Non Prevailing Wage,0,6,10,10
60327,PROJECT RENEWAL.2865 CRESTON AVE.BEDFORD GREEN HOU,2865,CRESTON AVENUE,Bronx,14,40.87151862,-73.89161411,No,Prevailing Wage,71,0,118,118
60996,WOODSTOCK TERRACE MUTUAL HOUSING CORP,872,TRINITY AVENUE,Bronx,16,40.8224006,-73.90553224,No,Non Prevailing Wage,0,159,160,160
60996,WOODSTOCK TERRACE MUTUAL HOUSING CORP,920,TRINITY AVENUE,Bronx,16,40.8224006,-73.90553224,No,Non Prevailing Wage,0,160,160,160
61701,CITILEAF HDFC,54,LEXINGTON AVENUE,Manhattan,2,40.74078235,-73.98417964,No,Non Prevailing Wage,45,4,50,50
61841,WSFSSH.570 EAST 137TH STREET.MILLBROOK TERRACE,570,EAST 137 STREET,Bronx,8,40.8050984,-73.9169134,No,Prevailing Wage,158,0,159,159
